"day","floor","zone","max","mean","grFlZone"
"1","1","8",0.0363699907087292,0.00620921880849686,"F:1-Z:8"
"1","2","2",0.155295423414156,0.0585640463334933,"F:2-Z:2"
"1","2","4",0.139627018375967,0.0535337388231964,"F:2-Z:4"
"1","3","1",0.539460030885974,0.216237518344095,"F:3-Z:1"
"2","1","8",0.0363699907087292,0.00620921880849686,"F:1-Z:8"
"2","2","2",0.600023810315971,0.147269475661831,"F:2-Z:2"
"2","2","4",0.555818181874394,0.139458256017988,"F:2-Z:4"
"2","3","1",1.06036039467881,0.384809245552668,"F:3-Z:1"
"3","1","8",2.60016720416854,0.810432662480116,"F:1-Z:8"
"3","2","2",1.10368464301053,0.271696751389157,"F:2-Z:2"
"3","2","4",0.99241541980332,0.245956321738984,"F:2-Z:4"
"3","3","1",3.45092558879894,1.19523136017736,"F:3-Z:1"
"4","1","8",0.0172278903357138,0.00266394230191131,"F:1-Z:8"
"4","2","2",0.377780027583262,0.204243813822914,"F:2-Z:2"
"4","2","4",0.575111197699594,0.213352980092071,"F:2-Z:4"
"4","3","1",0.676813006307164,0.268808943109718,"F:3-Z:1"
"5","1","8",0.0172278903357138,0.00272774930315469,"F:1-Z:8"
"5","2","2",0.377780027583262,0.177710451991241,"F:2-Z:2"
"5","2","4",0.575111197699594,0.196002663777048,"F:2-Z:4"
"5","3","1",0.69128325522724,0.274873960155435,"F:3-Z:1"
"6","1","8",1.14852602238092,0.228337341887029,"F:1-Z:8"
"6","2","2",1.09377656105588,0.363719209311686,"F:2-Z:2"
"6","2","4",1.05344813332727,0.361276407516802,"F:2-Z:4"
"6","3","1",0.539460030885974,0.307946772163473,"F:3-Z:1"
"7","1","8",1.22911426495132,0.0887994060429028,"F:1-Z:8"
"7","2","2",2.49614859132421,1.49376233192031,"F:2-Z:2"
"7","2","4",2.48032742873269,1.43287100324483,"F:2-Z:4"
"7","3","1",1.4902354574586,0.821171135993928,"F:3-Z:1"
"8","1","8",3.12092804481643,0.67572013110502,"F:1-Z:8"
"8","2","2",1.06883434085755,0.230610894186597,"F:2-Z:2"
"8","2","4",0.955931832185153,0.205479121069393,"F:2-Z:4"
"8","3","1",1.23794981324337,0.367605568518079,"F:3-Z:1"
"9","1","8",5.14616226428145,1.91840933557087,"F:1-Z:8"
"9","2","2",0.151167055933053,0.0552097477550972,"F:2-Z:2"
"9","2","4",0.135916823024967,0.0500580072061832,"F:2-Z:4"
"9","3","1",2.70313400972571,1.66096270840699,"F:3-Z:1"
"10","1","8",0.0637431942421412,0.0207173357162114,"F:1-Z:8"
"10","2","2",0.155295423414156,0.0585468448023221,"F:2-Z:2"
"10","2","4",0.139627018375967,0.0535157031513512,"F:2-Z:4"
"10","3","1",0.361641833682359,0.199269769281029,"F:3-Z:1"
"11","1","8",5.86131113421731,1.60408408363322,"F:1-Z:8"
"11","2","2",6.07355102901163,2.30835517514475,"F:2-Z:2"
"11","2","4",6.34647465765307,2.40187869751771,"F:2-Z:4"
"11","3","1",4.2390108056753,1.30950629038412,"F:3-Z:1"
"12","1","8",1.22691292340842,0.179983598757277,"F:1-Z:8"
"12","2","2",1.75562267440137,0.420163166928321,"F:2-Z:2"
"12","2","4",1.50479339777642,0.404938192529334,"F:2-Z:4"
"12","3","1",3.67950404654234,1.55581270954328,"F:3-Z:1"
"13","1","8",0.0363699907087292,0.00620921880849686,"F:1-Z:8"
"13","2","2",2.65312976479315,1.03004918844915,"F:2-Z:2"
"13","2","4",2.38203817022578,0.926571046683542,"F:2-Z:4"
"13","3","1",1.37996415343526,0.706064500109777,"F:3-Z:1"
"31","1","8",0.0363699907087292,0.00620921880849686,"F:1-Z:8"
"31","2","2",0.155295423414156,0.0585640463334933,"F:2-Z:2"
"31","2","4",0.139627018375967,0.0535337388231964,"F:2-Z:4"
"31","3","1",0.539460030885974,0.307977752604178,"F:3-Z:1"
