"day","floor","zone","time","max","mean","grFlZone"
"1","1","1","00:00:00",1.86806753650401,0.47770781880039,"F:1-Z:1"
"1","1","1","01:00:00",0.554829321343504,0.158315637139651,"F:1-Z:1"
"1","1","1","02:00:00",0.386351570173964,0.03689976296786,"F:1-Z:1"
"1","1","1","03:00:00",0.29279394285371,0.0343291036775804,"F:1-Z:1"
"1","1","1","04:00:00",0.275935037187501,0.0744927915509662,"F:1-Z:1"
"1","1","1","05:00:00",0.200495736445475,0.0439100739733726,"F:1-Z:1"
"1","1","1","06:00:00",0.0883803067866301,0.0129085243273592,"F:1-Z:1"
"1","1","1","07:00:00",0.234953854044204,0.0299805458031397,"F:1-Z:1"
"1","1","1","08:00:00",1.3988169862532,0.304311496889248,"F:1-Z:1"
"1","1","1","09:00:00",0.349704246563301,0.0999964467471345,"F:1-Z:1"
"1","1","1","10:00:00",1.0491127396899,0.269496768815667,"F:1-Z:1"
"1","1","1","11:00:00",6.99408493126602,1.60182549907992,"F:1-Z:1"
"1","1","1","12:00:00",0.262141768287994,0.0610845157533622,"F:1-Z:1"
"1","1","1","13:00:00",0.152489874603847,0.0334118087248441,"F:1-Z:1"
"1","1","1","14:00:00",4.89585945188622,1.13638963523664,"F:1-Z:1"
"1","1","1","15:00:00",1.0491127396899,0.259988739282349,"F:1-Z:1"
"1","1","1","16:00:00",0.149562200885826,0.0468469899790376,"F:1-Z:1"
"1","1","1","17:00:00",0.272537263126699,0.0548471641356673,"F:1-Z:1"
"1","1","1","18:00:00",0.13336613203797,0.0279281820941606,"F:1-Z:1"
"1","1","1","19:00:00",0.082410578517068,0.0160324191024858,"F:1-Z:1"
"1","1","1","20:00:00",0.0657202572152743,0.00878381190349674,"F:1-Z:1"
"1","1","1","21:00:00",0.699408493126602,0.168886551636862,"F:1-Z:1"
"1","1","1","22:00:00",0.205197693078093,0.0464117756655579,"F:1-Z:1"
"1","1","1","23:00:00",0.0218990624439055,0.00342890022138947,"F:1-Z:1"
"1","1","2","00:00:00",0.690559406302074,0.216748893250609,"F:1-Z:2"
"1","1","2","01:00:00",0.857551602767485,0.153191712098264,"F:1-Z:2"
"1","1","2","02:00:00",0.644882422798102,0.077632884320192,"F:1-Z:2"
"1","1","2","03:00:00",0.432837504604533,0.0555048679984992,"F:1-Z:2"
"1","1","2","04:00:00",0.227475388754527,0.0544870662652311,"F:1-Z:2"
"1","1","2","05:00:00",0.0909904557606786,0.0295066162738146,"F:1-Z:2"
"1","1","2","06:00:00",0.145008807499304,0.0221334331815356,"F:1-Z:2"
"1","1","2","07:00:00",0.224822276207352,0.0575609319090172,"F:1-Z:2"
"1","1","2","08:00:00",0.225194725394263,0.0440268851111985,"F:1-Z:2"
"1","1","2","09:00:00",0.108967191455587,0.0190186613152246,"F:1-Z:2"
"1","1","2","10:00:00",0.0484578290267697,0.0129089817281136,"F:1-Z:2"
"1","1","2","11:00:00",0.138753211899028,0.0224802238348203,"F:1-Z:2"
"1","1","2","12:00:00",0.151970758470804,0.0289602133660104,"F:1-Z:2"
"1","1","2","13:00:00",2.91716650612416,1.16268659629565,"F:1-Z:2"
"1","1","2","14:00:00",3.25258300003574,1.20097919798659,"F:1-Z:2"
"1","1","2","15:00:00",3.25167089594643,1.19166241665872,"F:1-Z:2"
"1","1","2","16:00:00",3.2515267230567,1.17684662346284,"F:1-Z:2"
"1","1","2","17:00:00",0.540492162629933,0.224329431781088,"F:1-Z:2"
"1","1","2","18:00:00",0.0779019461134771,0.00789706633557259,"F:1-Z:2"
"1","1","2","19:00:00",0.0759031028697595,0.0133653404076231,"F:1-Z:2"
"1","1","2","20:00:00",0.0890373366133921,0.0162652284776253,"F:1-Z:2"
"1","1","2","21:00:00",0.111562782357065,0.0182909252787816,"F:1-Z:2"
"1","1","2","22:00:00",0.0846434941144456,0.020967865767571,"F:1-Z:2"
"1","1","2","23:00:00",0.089323953211636,0.0136011882543991,"F:1-Z:2"
"1","1","3","00:00:00",3.70480735220428,0.526579871018448,"F:1-Z:3"
"1","1","3","01:00:00",1.10035408718613,0.234575073313679,"F:1-Z:3"
"1","1","3","02:00:00",0.286232671742127,0.0932557744105553,"F:1-Z:3"
"1","1","3","03:00:00",0.256840476026373,0.0806554038944961,"F:1-Z:3"
"1","1","3","04:00:00",0.547242610091157,0.0908235662462661,"F:1-Z:3"
"1","1","3","05:00:00",0.222575559519561,0.0410312797644019,"F:1-Z:3"
"1","1","3","06:00:00",0.181993514949511,0.049668268216807,"F:1-Z:3"
"1","1","3","07:00:00",0.375386450638328,0.0463460778477469,"F:1-Z:3"
"1","1","3","08:00:00",0.425308548744701,0.043794939190318,"F:1-Z:3"
"1","1","3","09:00:00",0.117739344217248,0.0193543659899989,"F:1-Z:3"
"1","1","3","10:00:00",0.0242460793968084,0.00458488003627723,"F:1-Z:3"
"1","1","3","11:00:00",0.0945457663716888,0.0152569535968953,"F:1-Z:3"
"1","1","3","12:00:00",0.132997228646736,0.0224724051491177,"F:1-Z:3"
"1","1","3","13:00:00",0.115760732572345,0.0161465729705556,"F:1-Z:3"
"1","1","3","14:00:00",0.12082013550327,0.0134267337308815,"F:1-Z:3"
"1","1","3","15:00:00",0.105936726566308,0.0140821271715005,"F:1-Z:3"
"1","1","3","16:00:00",0.0878397336154748,0.0161238799304567,"F:1-Z:3"
"1","1","3","17:00:00",0.0700631103403522,0.0195130854819786,"F:1-Z:3"
"1","1","3","18:00:00",0.0621624660333091,0.0146502949057048,"F:1-Z:3"
"1","1","3","19:00:00",0.0704355038887419,0.00911587056207345,"F:1-Z:3"
"1","1","3","20:00:00",0.0746024451388416,0.00785828734098846,"F:1-Z:3"
"1","1","3","21:00:00",0.083151909172277,0.00896980610895095,"F:1-Z:3"
"1","1","3","22:00:00",0.321046694318968,0.0621893643124085,"F:1-Z:3"
"1","1","3","23:00:00",0.112766524687566,0.017085500091292,"F:1-Z:3"
"1","1","4","00:00:00",1.12707640754483,0.208061663928944,"F:1-Z:4"
"1","1","4","01:00:00",0.349457017225727,0.109239237309822,"F:1-Z:4"
"1","1","4","02:00:00",0.259570076249862,0.0385765869949427,"F:1-Z:4"
"1","1","4","03:00:00",0.12910247452069,0.0227521181788858,"F:1-Z:4"
"1","1","4","04:00:00",0.166482134265369,0.0303960640030911,"F:1-Z:4"
"1","1","4","05:00:00",0.066008098529535,0.0220625024148342,"F:1-Z:4"
"1","1","4","06:00:00",0.0273949059737503,0.00433379520965891,"F:1-Z:4"
"1","1","4","07:00:00",0.44883804758718,0.0855895033769395,"F:1-Z:4"
"1","1","4","08:00:00",0.0701345764467477,0.0195985745507594,"F:1-Z:4"
"1","1","4","09:00:00",0.0942746277439036,0.013416772375328,"F:1-Z:4"
"1","1","4","10:00:00",11.906436250254,2.42523458341468,"F:1-Z:4"
"1","1","4","11:00:00",0.160693197324737,0.0292649349508927,"F:1-Z:4"
"1","1","4","12:00:00",0.207564637902096,0.033970522179704,"F:1-Z:4"
"1","1","4","13:00:00",0.188465295500047,0.0219324215790162,"F:1-Z:4"
"1","1","4","14:00:00",0.226436977374269,0.0232410003031976,"F:1-Z:4"
"1","1","4","15:00:00",2.97660906256349,0.617951749905777,"F:1-Z:4"
"1","1","4","16:00:00",0.167214089707853,0.0282899184630794,"F:1-Z:4"
"1","1","4","17:00:00",0.143070479207001,0.0386847954958693,"F:1-Z:4"
"1","1","4","18:00:00",0.0925703961315727,0.0235311551878636,"F:1-Z:4"
"1","1","4","19:00:00",0.119499939623662,0.0182003392621481,"F:1-Z:4"
"1","1","4","20:00:00",0.0894204965993926,0.0134988467252352,"F:1-Z:4"
"1","1","4","21:00:00",0.0771188035771618,0.0112996228113846,"F:1-Z:4"
"1","1","4","22:00:00",0.0343885710209975,0.0106450241483178,"F:1-Z:4"
"1","1","4","23:00:00",0.0556012158913309,0.00636516402729526,"F:1-Z:4"
"1","1","5","00:00:00",0.94641464618937,0.237595170179698,"F:1-Z:5"
"1","1","5","01:00:00",1.10514962832397,0.155794024780902,"F:1-Z:5"
"1","1","5","02:00:00",0.774307802302759,0.229974336041033,"F:1-Z:5"
