"variable","hour","day","ref","refWeekend","floor","zone","subzone","units","sdTimes","min","max","value","time"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:00:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:05:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:10:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:15:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:20:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:25:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,0,"00:30:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:35:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:40:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:45:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:50:00"
"F_1_BATH_EXHAUST.Fan.Power",0,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"00:55:00"
"F_1_BATH_EXHAUST.Fan.Power",1,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"01:00:00"
"F_1_BATH_EXHAUST.Fan.Power",1,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"01:05:00"
"F_1_BATH_EXHAUST.Fan.Power",1,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"01:10:00"
"F_1_BATH_EXHAUST.Fan.Power",1,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"01:15:00"
"F_1_BATH_EXHAUST.Fan.Power",1,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"01:20:00"
"F_1_BATH_EXHAUST.Fan.Power",1,"12",43.2361416666667,43.2361416666667,"1","all","","W",0,0,47.1667,47.1667,"01:25:00"
