"units","variable","hour","day","ref","refWeekend","floor","zone","subzone","sdTimes","value","time","min","max"
"C","Drybulb.Temperature",16,"1",27.1125,27.3833333333333,"all","all","",-1.11553026488708,26.1667,"16:50:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.2,"06:00:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.3,"06:20:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",16,"1",27.1125,27.3833333333333,"all","all","",-1.11553026488708,26.5,"16:00:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",16,"1",27.1125,27.3833333333333,"all","all","",-1.11553026488708,26.4667,"16:05:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.225,"06:05:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.45,"06:50:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",15,"1",27.7979166666667,28.0708333333333,"all","all","",-1.59152878105618,26.75,"15:10:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",15,"1",27.7979166666667,28.0708333333333,"all","all","",-1.59152878105618,26.8,"15:00:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",15,"1",27.7979166666667,28.0708333333333,"all","all","",-1.59152878105618,26.575,"15:45:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",15,"1",27.7979166666667,28.0708333333333,"all","all","",-1.59152878105618,26.65,"15:30:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",15,"1",27.7979166666667,28.0708333333333,"all","all","",-1.59152878105618,26.775,"15:05:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",9,"1",26.2125,26.5125,"all","all","",-0.584047259103184,25.7417,"09:25:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",9,"1",26.2125,26.5125,"all","all","",-0.584047259103184,26.3917,"09:55:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",9,"1",26.2125,26.5125,"all","all","",-0.584047259103184,25.525,"09:15:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",9,"1",26.2125,26.5125,"all","all","",-0.584047259103184,25.4167,"09:10:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",9,"1",26.2125,26.5125,"all","all","",-0.584047259103184,25.85,"09:30:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.4,"06:40:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.275,"06:15:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.475,"06:55:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",6,"1",23.4354166666667,24.5833333333333,"all","all","",-0.137251105889254,23.25,"06:10:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",7,"1",24.2125,25.0291666666667,"all","all","",-0.741740019061045,23.6333,"07:20:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",7,"1",24.2125,25.0291666666667,"all","all","",-0.741740019061045,23.5667,"07:10:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",7,"1",24.2125,25.0291666666667,"all","all","",-0.741740019061045,23.6,"07:15:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",7,"1",24.2125,25.0291666666667,"all","all","",-0.741740019061045,23.8,"07:45:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",7,"1",24.2125,25.0291666666667,"all","all","",-0.741740019061045,23.6667,"07:25:00",22.4166666666667,60.3418
"C","Drybulb.Temperature",7,"1",24.2125,25.0291666666667,"all","all","",-0.741740019061045,23.7,"07:30:00",22.4166666666667,60.3418
